Период,"Доходы, всего",Нефтегазовые доходы,Ненефтегазовые доходы,"Ненефтегазовые доходы, связанные с внутренним производством",Ненефтегазовые доходы - НДС (внутренний),Ненефтегазовые доходы - Акцизы,Ненефтегазовые доходы - Налог на прибыль,Ненефтегазовые доходы - Налог на доходы физических лиц,"Доходы, связанные с импортом","Доходы, связанные с импортом - НДС на ввозимые товары","Доходы, связанные с импортом - Акцизы на ввозимые товары","Доходы, связанные с импортом - Ввозные пошлины",Прочие доходы,"Расходы, всего",Расходы на общегосударственные вопросы,Расходы на общегосударственные вопросы в части обслуживания государственного и муниципального долга,Расходы на национальную оборону,Расходы на национальную безопасность и правоохранительную деятельность,Расходы на национальную экономику,Расходы на жилищно-коммунальное хозяйство,Расходы на охрану окружающей среды,Расходы на образование,"Расходы на культуру, кинематографию и средства массовой информации","Расходы на культуру, кинематографию",Расходы на здравоохранение и спорт,Расходы на здравоохранение,Расходы на социальную политику,Расходы на физическую культуру и спорт,Расходы на средства массовой информации,Расходы на обслуживание государственного и муниципального долга,Расходы на межбюджетные трансферты,Расходы на межбюджетные трансферты общего характера бюджетам бюджетной системы Российской Федерации,Дефицит (-)/Профицит (+),Ненефтегазовый дефицит,Источники финансирования дефицита федерального бюджета - всего,Источники внутреннего финансирования дефицита,Источники внутреннего финансирования дефицита (без учета изменения остатков на счетах),Сальдо внутреннего долга:,Привлечение,Погашение государственного внутреннего долга,Бюджетные кредиты:,Предоставление кредитов,Возврат кредитов,"Поступления от продажи акций и земельных участков, находящихся в государственной собственности",Курсовая разница,Изменение остатков на счетах ,Прочие источники внутреннего финансирования дефицита,Источники внешнего  финансирования дефицита,Привлечение кредитов и размещение ценных бумаг,Погашение внешнего долга,Другие источники внешнего финансирования,Код разреза,Код признака
2006,6278.9,2943.5,3335.3,1527.3,924.2,93.2,509.9,,945.6,586.7,17.3,341.6,862.5,4284.8,533.2,172.8,681.8,550.2,345,52.7,6.6,212.4,55.2,,147.5,,201.2,,,,1498.9,,1994.1,-949.5,-1994.1,-1243.6,154.6,177.6,237.6,-59.9,,,,23.4,-2.2,-1398.2,-44.3,-750.5,45.9,-768.5,-27.9,OKEI,386
2007,7781.1,2897.4,4883.7,2140.6,1390.4,108.8,641.3,,1385.3,871.1,26.2,488,1357.9,5986.6,815.7,143.1,831.9,667,692.6,294.9,8.2,294.6,71,,196.5,,214,,,,1900.1,,1794.6,-1102.8,-1794.6,-1614.1,147.1,223.5,293.6,-70.1,,,,20.2,-62.1,-1761.1,-34.6,-180.5,9.3,-189.8,0,OKEI,386
2008,9275.9,4389.4,4886.5,1884.8,998.4,125.2,761.1,,1794.6,1133.8,35.3,625.6,1207.1,7570.9,839.4,153.3,1040.9,835.6,1025,129.5,10.2,355,88.9,,278.2,,293.6,,,,2674.6,,1705.1,-2684.4,-1705.1,-1570,421.2,171.6,266.3,-94.7,-5,-20.7,15.6,6.7,722.6,-1991.3,-474.5,-135,6.1,-120.8,-20.4,OKEI,386
2009,7337.8,2984,4353.8,1453.7,1176.6,81.7,195.4,,1360.4,873.4,19.8,467.2,1539.7,9660.1,853.1,176.2,1188.2,1004.5,1650.7,151.6,13,418,111.7,,352.3,,323.5,,,,3593.4,,-2322.3,-5306.3,2322.3,2450.9,421.9,415.9,515.9,-100,-120.6,-170.2,49.6,2,350.7,2029,-226.1,-128.6,3,-103.5,-28.2,OKEI,386
2010,8305.4,3830.7,4474.7,1697.7,1328.7,113.9,255,,1787.1,1169.5,30.1,587.5,990,10117.5,887.9,195,1276.5,1085.4,1222.7,234.9,13.5,442.8,125.6,,347.4,,344.9,,,,4135.9,,-1812,-5642.7,1812,1692.4,7.5,621.5,857.2,-235.7,-157.8,-170.3,12.4,14.9,-132.4,1684.9,-338.6,119.7,164.4,-84.8,40.1,OKEI,386
2011,11367.7,5641.8,5725.9,2327.6,1753.2,231.8,342.6,,2236.7,1497.2,46.6,692.9,1161.6,10925.6,777.8,,1516,1259.8,1790.2,279.8,17.6,553.4,,83.8,,499.6,3128.5,44.2,61.1,262.7,,651.3,442,-5199.7,-442,-336.9,1302.8,1079.7,1378.8,-299.1,-75,-128.5,53.5,126.2,142.3,-1639.7,29.7,-105.2,3.4,-101.1,-7.5,OKEI,386
2012,12855.5,6453.2,6402.4,2603.8,1886.1,341.9,375.8,,2445.8,1659.7,53.4,732.8,1352.7,12895,809.9,,1812.4,1843,1968.5,228.8,22.5,603.8,,89.9,,613.8,3859.7,45.7,77.5,320,,599.4,-39.4,-6492.6,39.4,21.4,420.7,511.4,911.9,-400.4,-2.3,-129.8,127.4,43.9,-122.6,-399.3,-9.7,18.1,206.3,-69.1,-119.2,OKEI,386
2013,13019.9,6534,6485.9,2681.5,1868.2,461,352.2,,2418,1670.8,63.4,683.8,1386.4,13342.9,850.7,,2103.6,2061.6,1849.3,177.5,24.3,672.3,,94.8,,502,3833.1,68,77.3,360.3,,668.1,-323,-6857,323,270.2,831.8,358.4,821.7,-463.3,-40.3,-132.5,92.3,41.6,481.3,-561.6,-9.2,52.7,227.8,-65.2,-109.9,OKEI,386
2014,14496.9,7433.8,7063.1,3113.6,2181.4,520.8,411.3,,2474.3,1750.2,71.6,652.5,1475.2,14831.6,935.7,,2479.1,2086.2,3062.9,119.6,46.4,638.3,,97.8,,535.5,3452.4,71.2,74.8,415.6,,816.1,-334.7,-7768.5,334.7,481.4,4076.3,1025.3,1348.9,-323.7,-165,-247.8,82.8,29.7,3487,-3594.9,-300.8,-146.7,2.6,-74.8,-74.4,OKEI,386
2015,13659.2,5862.7,7796.6,3467.6,2448.3,527.9,491.4,,2404.4,1785.2,54,565.2,1924.6,15620.3,1117.6,,3181.4,1965.6,2324.2,144.1,49.7,610.6,,89.9,,516,4265.3,73,82.1,518.7,,682,-1961,-7823.7,1961,2257,1242.4,15.3,836,-820.8,-161.3,-341.5,180.2,6.3,1775.6,1014.6,-393.4,-296,4.9,-238,-62.9,OKEI,386
